timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1532620367381,2026,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-63,text,false,,2225,0,74,148,0,0,2026
1532620367402,2020,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-61,text,false,,2225,0,72,146,0,0,2020
1532620367431,2007,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-58,text,false,,2225,0,71,145,0,0,2007
1532620367421,2017,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-59,text,false,,2225,0,71,145,0,0,2017
1532620367391,2047,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-62,text,false,,2225,0,71,145,0,0,2047
1532620367411,2028,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-60,text,false,,2225,0,70,144,0,0,2028
1532620367441,2044,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-57,text,false,,2225,0,67,141,0,0,2044
1532620367452,2033,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-56,text,false,,2225,0,67,141,0,0,2033
1532620367461,2024,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-55,text,false,,2225,0,67,141,0,0,2024
1532620367471,2030,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-54,text,false,,2225,0,64,139,0,0,2029
1532620367481,2020,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-53,text,false,,2225,0,64,139,0,0,2019
1532620367501,2015,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-51,text,false,,2225,0,62,137,0,0,2015
1532620367511,2005,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-50,text,false,,2225,0,62,137,0,0,2005
1532620367491,2025,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-52,text,false,,2225,0,62,137,0,0,2025
1532620367532,2015,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-48,text,false,,2225,0,59,134,0,0,2015
1532620367522,2041,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-49,text,false,,2225,0,58,133,0,0,2041
1532620367552,2011,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-46,text,false,,2225,0,58,133,0,0,2011
1532620367561,2018,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-45,text,false,,2225,0,56,131,0,0,2018
1532620367542,2037,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-47,text,false,,2225,0,56,131,0,0,2037
1532620367591,2003,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-42,text,false,,2225,0,54,129,0,0,2003
1532620367571,2023,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-44,text,false,,2225,0,54,129,0,0,2023
1532620367581,2029,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-43,text,false,,2225,0,52,127,0,0,2029
1532620367601,2024,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-41,text,false,,2225,0,51,126,0,0,2024
1532620367641,2000,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-37,text,false,,2225,0,50,125,0,0,2000
1532620367611,2030,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-40,text,false,,2225,0,50,125,0,0,2030
1532620367631,2011,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-38,text,false,,2225,0,48,123,0,0,2011
1532620367621,2021,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-39,text,false,,2225,0,47,122,0,0,2021
1532620367652,2020,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-36,text,false,,2225,0,46,121,0,0,2020
1532620367671,2033,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-34,text,false,,2225,0,45,120,0,0,2033
1532620367681,2023,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-33,text,false,,2225,0,45,120,0,0,2023
1532620367662,2042,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-35,text,false,,2225,0,45,120,0,0,2042
1532620367702,2017,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-31,text,false,,2225,0,42,117,0,0,2017
1532620367691,2028,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-32,text,false,,2225,0,42,117,0,0,2028
1532620367721,2014,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-29,text,false,,2225,0,40,115,0,0,2014
1532620367711,2040,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-30,text,false,,2225,0,39,114,0,0,2039
1532620367731,2020,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-28,text,false,,2225,0,39,114,0,0,2020
1532620367741,2025,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-27,text,false,,2225,0,37,112,0,0,2025
1532620367751,2031,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-26,text,false,,2225,0,36,111,0,0,2031
1532620367761,2021,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-25,text,false,,2225,0,36,111,0,0,2021
1532620367771,2042,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-24,text,false,,2225,0,34,110,0,0,2042
1532620367801,2012,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-21,text,false,,2225,0,34,110,0,0,2012
1532620367791,2038,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-22,text,false,,2225,0,32,108,0,0,2038
1532620367781,2048,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-23,text,false,,2225,0,32,108,0,0,2048
1532620367811,2033,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-20,text,false,,2225,0,30,106,0,0,2033
1532620367841,2003,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-17,text,false,,2225,0,30,106,0,0,2003
1532620367831,2013,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-18,text,false,,2225,0,30,106,0,0,2013
1532620367821,2023,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-19,text,false,,2225,0,30,106,0,0,2023
1532620367861,2030,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-15,text,false,,2225,0,26,102,0,0,2030
1532620367881,2026,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,hc_spike_2 3-13,text,false,,2225,0,25,101,0,0,2026
